date,flow_cms,temp_c
4/14/2020,182.3845936,10.3
4/15/2020,193.4296233,9.4
4/16/2020,199.6601529,9.4
4/17/2020,206.4570943,10.1
4/18/2020,212.6876239,10.2
4/19/2020,225.9983008,10.8
4/20/2020,237.6097423,10.8
4/21/2020,248.0883602,10.9
4/22/2020,261.9654489,10.9
4/23/2020,286.0379496,10.1
4/24/2020,294.5341263,9.1
4/25/2020,300.1982441,9
4/26/2020,305.8623619,10.1
4/27/2020,305.8623619,10.7
4/28/2020,305.8623619,10.7
4/29/2020,314.3585387,10.6
4/30/2020,311.5264798,10.6
5/1/2020,311.5264798,10.8
5/2/2020,311.5264798,11.5
5/3/2020,314.3585387,11.4
5/4/2020,314.3585387,10.7
5/5/2020,308.6944208,10.8
5/6/2020,308.6944208,11
5/7/2020,308.6944208,11.4
5/8/2020,308.6944208,11.5
5/9/2020,325.6867743,11.7
5/10/2020,328.5188332,11.4
5/11/2020,320.0226565,11.5
5/12/2020,317.1905976,11.9
5/13/2020,331.3508921,12
5/14/2020,337.0150099,12.2
5/15/2020,322.8547154,12.1
5/16/2020,308.6944208,12.1
5/17/2020,308.6944208,12.1
5/18/2020,399.3203059,12.4
5/19/2020,362.5035401,12.2
5/20/2020,314.3585387,11.1
5/21/2020,288.8700085,11.4
5/22/2020,279.80742,11.7
5/23/2020,273.8600963,12.3
5/24/2020,267.0631549,12.3
5/25/2020,263.3814783,12.3
5/26/2020,260.2662135,12.1
5/27/2020,278.1081847,12.8
5/28/2020,300.1982441,12.9
5/29/2020,311.5264798,13.1
5/30/2020,320.0226565,13.5
5/31/2020,328.5188332,13.3
6/1/2020,331.3508921,13
6/2/2020,331.3508921,12.7
6/3/2020,328.5188332,13.7
6/4/2020,328.5188332,14
6/5/2020,325.6867743,14.2
6/6/2020,322.8547154,14.2
6/7/2020,322.8547154,13.8
6/8/2020,322.8547154,13.7
6/9/2020,320.0226565,13.4
6/10/2020,320.0226565,13.4
6/11/2020,337.0150099,13.3
6/12/2020,351.1753044,13.2
6/13/2020,362.5035401,13.2
6/14/2020,368.1676579,13.3
6/15/2020,368.1676579,13.3
6/16/2020,373.8317757,13.2
6/17/2020,368.1676579,13.2
6/18/2020,368.1676579,12.4
6/19/2020,370.9997168,12.2
6/20/2020,379.4958935,12.3
6/21/2020,376.6638346,12.3
6/22/2020,376.6638346,12.2
6/23/2020,370.9997168,12
6/24/2020,368.1676579,11.7
6/25/2020,365.335599,11.4
6/26/2020,370.9997168,11.7
6/27/2020,370.9997168,11.6
6/28/2020,370.9997168,11.5
6/29/2020,376.6638346,11.5
6/30/2020,376.6638346,11.5
7/1/2020,373.8317757,11.2
7/2/2020,373.8317757,11.2
7/3/2020,373.8317757,11.3
7/4/2020,373.8317757,11.4
7/5/2020,373.8317757,11.5
7/6/2020,373.8317757,12.2
7/7/2020,373.8317757,12.2
7/8/2020,373.8317757,12.4
7/9/2020,373.8317757,12.5
7/10/2020,373.8317757,12.6
7/11/2020,370.9997168,12.6
7/12/2020,370.9997168,12.8
7/13/2020,370.9997168,12.8
7/14/2020,373.8317757,12.6
7/15/2020,370.9997168,12.6
7/16/2020,370.9997168,12.6
7/17/2020,373.8317757,12.7
7/18/2020,370.9997168,12.7
7/19/2020,370.9997168,12.7
7/20/2020,370.9997168,12.7
7/21/2020,373.8317757,12.7
7/22/2020,365.335599,13
7/23/2020,356.8394223,13
7/24/2020,348.3432455,12.9
7/25/2020,345.5111866,12.9
7/26/2020,345.5111866,12.9
7/27/2020,342.6791277,12.9
7/28/2020,339.8470688,12.9
7/29/2020,334.182951,12.7
7/30/2020,325.6867743,12.6
7/31/2020,322.8547154,12.2
8/1/2020,325.6867743,13
8/2/2020,328.5188332,13.3
8/3/2020,328.5188332,13.3
8/4/2020,325.6867743,13.1
8/5/2020,325.6867743,13.1
8/6/2020,325.6867743,13.5
8/7/2020,322.8547154,13.2
8/8/2020,314.3585387,13.4
8/9/2020,311.5264798,13
8/10/2020,314.3585387,13.4
8/11/2020,311.5264798,13.5
8/12/2020,308.6944208,13.8
8/13/2020,308.6944208,13.8
8/14/2020,303.030303,13.9
8/15/2020,300.1982441,14
8/16/2020,300.1982441,13.8
8/17/2020,294.5341263,13.7
8/18/2020,294.5341263,13.5
8/19/2020,300.1982441,13.7
8/20/2020,288.8700085,13.7
8/21/2020,281.2234494,13.7
8/22/2020,276.6921552,13.7
8/23/2020,274.709714,14.2
8/24/2020,270.4616256,13.9
8/25/2020,263.9478901,14.4
8/26/2020,259.13339,14.1
8/27/2020,251.4868309,13.7
8/28/2020,243.2738601,13.4
8/29/2020,245.8227131,13.7
8/30/2020,246.9555367,13.8
8/31/2020,239.3089776,13.8
9/1/2020,239.3089776,13.8
9/2/2020,235.0608893,13.9
9/3/2020,233.9280657,13.9
