velocity,modeltype,capturerate,density
29,CS_Piccolo,60.749,1
39,CS_Piccolo,45.559,1
48,CS_Piccolo,31.888,1
54,CS_Piccolo,22.774,1
61,CS_Piccolo,12.141,1
29,CS_Model,67.27,1
39,CS_Model,55.8,1
48,CS_Model,45.5,1
54,CS_Model,39.71,1
61,CS_Model,31.6,1
29,CS_Model,65.35,2
39,CS_Model,55.47,2
48,CS_Model,45.63,2
54,CS_Model,37.64,2
61,CS_Model,28.39,2
29,CS_Model,62.73,3
39,CS_Model,42.99,3
48,CS_Model,28.39,3
54,CS_Model,23,3
61,CS_Model,16.83,3
29,CS_Model,46.48,4
39,CS_Model,27.48,4
48,CS_Model,17.21,4
54,CS_Model,13.71,4
61,CS_Model,10.46,4
29,CS_Model,32.6,5
39,CS_Model,19.34,5
48,CS_Model,11.66,5
54,CS_Model,9.52,5
61,CS_Model,6.59,5
29,CS_Model,25.15,6
39,CS_Model,14.41,6
48,CS_Model,8.66,6
54,CS_Model,6.2,6
61,CS_Model,4.47,6
29,CS_Piccolo,71.42857143,1
39,CS_Piccolo,6.25,1
48,CS_Piccolo,6.25,1
61,CS_Piccolo,6.25,1
54,CS_Piccolo,6.25,1
29,CS_Piccolo,61.84210526,1
39,CS_Piccolo,39.9122807,1
54,CS_Piccolo,38.15789474,1
48,CS_Piccolo,17.10526316,1
61,CS_Piccolo,7.456140351,1
29,CS_Piccolo,56.03448276,1
39,CS_Piccolo,46.12068966,1
48,CS_Piccolo,28.44827586,1
54,CS_Piccolo,31.89655172,1
61,CS_Piccolo,9.051724138,1
29,CS_Piccolo,50.65217391,1
39,CS_Piccolo,44.56521739,1
48,CS_Piccolo,8.913043478,1
54,CS_Piccolo,0,1
61,CS_Piccolo,8.913043478,1
29,CS_Piccolo,55.43478261,1
39,CS_Piccolo,34.13043478,1
48,CS_Piccolo,12.39130435,1
54,CS_Piccolo,8.043478261,1
61,CS_Piccolo,4.130434783,1
29,CS_Piccolo,68.47826087,1
39,CS_Piccolo,43.26086957,1
48,CS_Piccolo,38.47826087,1
54,CS_Piccolo,38.04347826,1
61,CS_Piccolo,23.69565217,1
29,CS_Piccolo,46.55172414,1
39,CS_Piccolo,58.62068966,1
48,CS_Piccolo,41.37931034,1
54,CS_Piccolo,11.63793103,1
61,CS_Piccolo,11.20689655,1
29,CS_Piccolo,64.22413793,1
39,CS_Piccolo,24.13793103,1
48,CS_Piccolo,30.60344828,1
54,CS_Piccolo,11.63793103,1
61,CS_Piccolo,11.20689655,1
29,CS_Piccolo,75.43103448,1
39,CS_Piccolo,46.98275862,1
48,CS_Piccolo,60.34482759,1
54,CS_Piccolo,42.24137931,1
61,CS_Piccolo,38.79310345,1
