Site,Design type,Date,CHNF,CHNJ,BASS,SASQ,MYKISS,STB,DSM,ISS,Shade,EmergVegDensity,EmergWMDensity,TerrVeg,TerrWM,Depth5,Depth10,Depth15,Substrate5,Substrate10,Substrate15,Vel5,Vel10,Vel15,TempF,MidChannelTempF,DiffF
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2,4.2,6.8,R,R,R,0.25,0.86,1.24,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,1.7,3.9,7.1,R,R,R,0.28,0.47,0.91,48.5,48.3,0.200000000000003
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2.4,4.9,7.3,R,R,R,0.49,0.8,0.88,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,1.4,4.2,6.6,R,R,R,0.73,0.91,1.11,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2.7,4.6,7.1,R,R,R,0.88,0.75,0.87,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2.2,4.2,6.8,R,R,R,0.51,0.88,0.86,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2.2,4.4,6.7,R,M,M,0.46,0.62,0.86,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,1.9,4.3,6.4,R,M,R,0.31,0.79,0.95,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,1.7,3.7,5.6,R,R,R,0.24,0.61,0.86,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2.1,4.2,6.1,R,R,R,0.4,0.63,1.03,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,1.8,3.2,5.6,R,R,R,0.55,0.92,0.97,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,1.3,3.8,6.5,R,R,R,0.34,0.58,0.98,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.4,0,1.4,3.6,5.8,R,R,M,0.3,1.06,1.19,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2.5,3.7,7.3,R,R,M,0.5,1.04,1.09,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,1,0,0,0,0,0,0,0,Absent,None,None,0.4,0,1.4,4.1,7,R,R,R,0.48,0.69,1.31,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.4,0,1.7,4.1,6.3,R,R,R,0.67,1.07,1.08,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2.1,4.2,6.8,R,R,R,0.27,0.56,1,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,2,0,0,0,0,0,0,0,Absent,None,None,0.3,0,1.8,4.4,6.7,R,R,M,0.15,0.83,1.05,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,0,1,0,0,0,0,0,0,Absent,None,None,0.3,0,1.7,4.3,6.4,R,R,M,0.6,0.78,1.14,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2,4.6,6.5,R,R,M,0.58,0.89,0.95,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2.3,4.5,6.3,R,R,M,1.01,1.09,1.59,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,1.7,4,6.9,R,R,R,0.71,1.12,1.44,48.2,48.3,-0.099999999999994
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2,4.5,6.2,R,M,R,0.35,0.79,0.82,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.4,0,2.6,4.3,6.7,R,R,M,0.74,0.85,1.32,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,1,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2,4,6.3,R,R,R,0.3,0.7,0.72,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2,4.1,7.4,R,R,R,0.33,0.44,0.76,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,1.6,2.1,7.2,R,R,R,0.54,0.81,1.26,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,1,0,0,0,0,0,0,0,Absent,None,None,0.4,0,0.9,3.8,7.2,M,R,R,0.19,0.64,0.73,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,0.8,3.8,6.8,M,M,M,0.26,0.53,1.06,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2.9,5.3,6.5,M,R,R,0.5,0.77,0.96,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,1.6,5,5.9,M,M,M,0.31,0.97,0.92,48.3,48.3,0
85.6L,Unmitigated ,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.3,0,2.2,5.5,6.1,M,R,M,0.66,0.93,0.93,48.3,48.3,0
85.6R,NoBench,1/25/20013,0,1,0,0,0,0,0,0,Absent,None,Low,0.4,0.15,2.3,4.7,8,R,R,R,0.36,1.09,1.37,48.3,48.3,0
85.6R,NoBench,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.5,0.1,2.6,4.7,6.9,R,R,R,0.47,0.74,1.07,48.3,48.3,0
85.6R,NoBench,1/25/20013,0,0,0,0,0,0,0,0,Absent,None,None,0.5,0.1,2,5.6,8.2,R,R,R,0.02,0.37,0.89,48.3,48.3,0
85.6R,NoBench,1/25/20013,0,0,0,1,0,0,0,0,Absent,None,Very Low ,0.4,0.1,2.4,4,5.9,R,R,R,0.02,0.41,1,48.2,48.3,-0.099999999999994
85.6R,NoBench,1/25/20013,0,0,0,2,0,0,0,0,Absent,None,None,0.4,0,3.5,5.9,6.9,R,R,R,0.11,0.29,1,48.2,48.3,-0.099999999999994
85.6R,NoBench,1/25/20013,0,0,0,1,0,0,0,0,Absent,None,None,0.4,0.1,2.5,5.9,6.7,R,R,R,0.15,0.64,1.2,48.3,48.3,0
85.6R,NoBench,1/25/20013,0,0,0,6,0,0,0,0,Absent,None,Very Low ,0.4,0.1,2.3,5,5.8,R,R,R,0.47,0.79,1.15,48.2,48.3,-0.099999999999994
85.6R,NoBench,1/25/20013,0,0,0,3,0,0,0,0,Absent,None,Very Low ,0.5,0.15,2.1,5.2,5.5,R,R,R,0.18,0.43,0.56,48.2,48.3,-0.099999999999994
85.6R,NoBench,1/25/20013,0,0,0,1,0,0,0,0,Absent,None,None,0.5,0.15,1.5,4.2,7.5,R,R,R,0.08,0.4,0.98,48.2,48.3,-0.099999999999994
85.6R,NoBench,1/25/20013,0,0,0,6,0,0,0,0,Absent,None,Very Low ,0.5,0.15,2.6,3.6,5.6,R,R,R,0.03,0.46,0.9,48.3,48.3,0
85.6R,NoBench,1/25/20013,1,0,1,0,0,0,0,1,Absent,None,None,0.5,0.1,1.7,4.7,5.9,R,R,R,0.02,0.03,1.12,48.2,48.3,-0.099999999999994
