species,length_mm,max_prey_length
bass,209.95803216828295,115.40441864616298
bass,156.44892938727244,109.97044172211038
bass,375.4720564324842,146.46829553375474
bass,281.0303921304091,125.74877658678437
bass,281.1287814593299,125.76588759982539
bass,241.1536104755238,119.46954162202765
bass,172.66556321151572,111.42380074993004
bass,169.77967625092262,111.15324565192296
bass,203.8806963146733,114.6926167871169
bass,150.7402559366201,109.49705532755937
bass,198.87948449062466,114.12570329621941
bass,273.8860089835737,124.52834030294547
bass,197.6873651225274,113.99305483624373
bass,173.77361985866108,111.52907135513847
bass,158.64065499947182,110.15742391973973
bass,361.39776119924136,142.77879162274277
bass,158.24566830250163,110.12351078126534
bass,215.19357999091318,116.03807396611155
bass,294.53927669125557,128.17715472884072
bass,330.85447194901815,135.5422116309119
bass,153.31532478250824,109.70815992102126
bass,160.64698337712537,110.33115408734756
bass,150.97360550797492,109.51602140096985
bass,415.8396204656006,158.44215456427884
bass,183.521597532434,112.4887520458965
bass,192.53654476951942,113.43080345766712
bass,319.6619790642997,133.13612498225288
bass,168.32203521210684,111.01856910367461
bass,384.948160611926,149.08778781923297
bass,181.01205113368434,112.23588719080226
bass,153.5332067504847,109.72620484641212
bass,377.31842524425355,146.96996075787806
bass,166.18079936808002,110.82312953828453
bass,203.43636605207098,114.64156483062622
bass,181.66782259635193,112.30157274580522
bass,150.88656348177668,109.50894302652942
bass,158.25023595614584,110.12390241237831
bass,197.2363602342067,113.94311894189453
bass,276.99223320181244,125.0536387480264
bass,193.10806246580893,113.49232125838559
bass,185.796007449306,112.72143348225765
bass,192.61478825726783,113.43921279588479
bass,191.54066115903709,113.3241220033561
bass,150.21475905383906,109.45446364497688
bass,190.67147336412128,113.23154606780481
bass,154.8340466372636,109.83453562399497
bass,152.55512811734792,109.64542442714921
bass,169.79723018947703,111.1548755977156
bass,177.85864540240308,111.9238687040967
bass,150.06902702201737,109.44268128978015
bass,210.34978078926287,115.4511728259787
bass,191.11566550063515,113.27879427108621
bass,150.28085611238785,109.45981174432494
bass,268.98647313934293,123.71619073267466
bass,161.64148941315372,110.41818162386387
bass,355.8940147427146,141.3988969248824
bass,265.3160758326774,123.12078254134957
bass,162.4322854387955,110.48781556390922
bass,203.50636625615908,114.64959870492542
bass,299.7307831572581,129.15365431135456
bass,182.22608666728124,112.35770906505158
bass,186.8463861440797,112.83002324374928
bass,310.45271944661187,131.24909312040194
bass,282.0400842619394,125.9247691581875
bass,183.4434327831215,112.48081489744108
bass,221.32032131118353,116.80401025482321
bass,234.71307178585857,118.57218795151589
bass,191.08519806979456,113.27554934355256
bass,198.66202656055802,114.10143551173609
bass,222.67755579430778,116.97729110997682
bass,270.84168892070517,124.02136415352709
bass,208.7389464010379,115.25960182847484
bass,178.8735113064979,112.02359326875225
bass,232.979389889178,118.33591464115572
bass,279.7110317975515,125.520127327048
bass,212.56266666628184,115.71727164992252
bass,242.8863290226442,119.71628734016025
bass,167.91593433553268,110.98128373212101
bass,280.1678306455101,125.5991231585989
bass,187.77391543447726,112.9265092550384
