species,length_mm,max_prey_length
pikeminnow,269.9331240310715,123.87155388443287
pikeminnow,201.5361375145189,114.42474571154547
pikeminnow,267.9263595940895,123.5430840637507
pikeminnow,260.24317933529636,122.31592177973322
pikeminnow,160.461205490291,110.31496408910462
pikeminnow,199.50977972313444,114.1962220070553
pikeminnow,386.71328553353703,149.5881762136766
pikeminnow,166.19773766310126,110.82466440684183
pikeminnow,165.1591728984236,110.73088287324404
pikeminnow,198.87179405774882,114.12484452138338
pikeminnow,154.86797781027863,109.83737499770385
pikeminnow,157.58075067958055,110.06663605983219
pikeminnow,247.7263915188869,120.41765737197692
pikeminnow,217.58850025961223,116.33431808299073
pikeminnow,390.9326017933607,150.80047657741054
pikeminnow,158.96180624974582,110.18506766241313
pikeminnow,215.43057408104266,116.06720970513705
pikeminnow,279.90403586978044,125.55348241170063
pikeminnow,239.8462872323888,119.28487669924773
pikeminnow,174.7867257006748,111.62599832566536
pikeminnow,194.28383650354166,113.61955998721119
pikeminnow,217.31937913341818,116.30082728448204
pikeminnow,228.6291493078802,117.75278309771369
pikeminnow,169.7330615381357,111.1489182434912
pikeminnow,162.48333029865054,110.49232353325533
pikeminnow,299.8185220361259,129.17036856124238
pikeminnow,157.37501832871402,110.04909287883106
pikeminnow,511.3392513206365,197.00140518970747
pikeminnow,167.91806855162233,110.98147941295463
pikeminnow,168.55521468161223,111.04002440843367
pikeminnow,151.83756286062604,109.58652588149279
pikeminnow,193.53814823378812,113.5387577337465
pikeminnow,172.12682762693026,111.37289730325722
pikeminnow,207.5238726158908,115.11628000063767
pikeminnow,181.40803193346883,112.27551772245377
pikeminnow,259.73765678311923,122.23685290395507
pikeminnow,157.1354612527687,110.02869779700626
pikeminnow,160.83622372541382,110.34766753666054
pikeminnow,155.16954976816032,109.86264122617682
pikeminnow,194.16106479446918,113.6062312052958
pikeminnow,263.44769776134183,122.82192425565202
pikeminnow,298.4293299694859,128.90655472140554
pikeminnow,208.26192252760296,115.20321430230119
pikeminnow,161.53591469513114,110.40891421357816
pikeminnow,424.51182653323076,161.30827980612148
pikeminnow,152.54615291209473,109.64468582158058
pikeminnow,216.6301578820328,116.2152898849001
pikeminnow,276.5541142612368,124.97905436259353
pikeminnow,150.36492173897253,109.46661750806268
pikeminnow,270.6563638738369,123.99075093277438
