"veg","distance","area","lat_dist","wood","fine","gravel","cobble","rock","shade_1","shade_2","shade_3","shade_4","shade_5","shade_6","shade_7","shade_8","shade_9","shade_10","shade_11","shade_12"
0.01,200,9984.55499069393,0,0.04,0,0,0,0,0.38,0.29,0.22,0.17,0.13,0.11,0.12,0.15,0.2,0.26,0.35,0.4
0.02,300,9984.55419395864,0,0.09,0,0,0,0,0.48,0.39,0.32,0.27,0.23,0.22,0.22,0.25,0.3,0.37,0.45,0.5
0.03,400,9984.54113277793,0,0.12,0,0,0,0,0.53,0.45,0.38,0.33,0.3,0.28,0.29,0.32,0.36,0.42,0.51,0.56
0.04,500,9984.5312319994,0,0.07,0,0,0,0,0.42,0.34,0.27,0.23,0.22,0.22,0.22,0.23,0.25,0.31,0.39,0.45
0.01,600,9984.53068584204,0,0.04,0,0,0,0,0.36,0.27,0.2,0.16,0.15,0.15,0.15,0.15,0.18,0.24,0.33,0.38
0.02,700,9984.5291133225,0,0.06,0,0,0,0,0.27,0.19,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.18,0.24,0.3
0.05,800,9984.53458875418,0,0.12,0,0,0,0,0.3,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.28,0.33
0.06,900,9984.54962189496,0,0.16,0,0,0,0,0.35,0.35,0.35,0.35,0.36,0.37,0.37,0.35,0.35,0.35,0.35,0.36
0.07,1000,9984.57347117364,0,0.18,0,0,0,0,0.4,0.4,0.4,0.4,0.41,0.42,0.42,0.4,0.4,0.4,0.4,0.4
0.07,1100,9984.60229283571,0,0.19,0,0,0,0,0.4,0.4,0.4,0.4,0.43,0.45,0.44,0.41,0.4,0.4,0.4,0.4
0.06,1200,9984.61076885462,0,0.16,0,0,0,0,0.35,0.35,0.35,0.36,0.38,0.39,0.38,0.37,0.36,0.35,0.35,0.35
0.08,1300,9984.58683001995,0,0.2,0,0,0,0,0.42,0.42,0.43,0.43,0.45,0.46,0.46,0.44,0.43,0.42,0.42,0.42
0.06,1400,9984.55737070739,0,0.21,0,0,0,0,0.43,0.4,0.41,0.43,0.45,0.46,0.46,0.43,0.41,0.4,0.42,0.45
0.02,1500,9984.52326031029,0,0.09,0,0,0,0,0.36,0.29,0.26,0.27,0.28,0.29,0.28,0.27,0.26,0.27,0.33,0.39
0.03,1600,9984.45928165317,0,0.09,0,0,0,0,0.54,0.46,0.4,0.35,0.32,0.32,0.32,0.33,0.37,0.44,0.52,0.57
0.1,1700,9984.51451353729,0,0.31,0,0,0,0,0.78,0.78,0.77,0.74,0.74,0.75,0.75,0.74,0.76,0.78,0.78,0.78
0.14,1800,9984.56048357487,0,0.36,0,0,0,0,0.96,0.96,0.93,0.9,0.88,0.88,0.88,0.89,0.92,0.95,0.96,0.96
0.2,1900,9984.57211358845,0,0.37,0,0,0,0,1,1,1,0.98,0.97,0.97,0.97,0.98,0.99,1,1,1
0.31,2000,9984.57688716054,0,0.37,0,0,0,0,1,1,0.98,0.96,0.94,0.93,0.94,0.95,0.97,1,1,1
0.25,2100,9984.57176592946,0,0.17,0,0,0,0,0.98,0.92,0.84,0.78,0.75,0.73,0.74,0.76,0.81,0.89,0.96,0.98
0.14,2200,9984.56254048645,0,0.07,0,0,0,0,0.64,0.56,0.5,0.45,0.42,0.41,0.41,0.44,0.48,0.53,0.61,0.67
0.14,2300,9984.55479969084,0,0.1,0,0,0,0,0.64,0.58,0.54,0.53,0.54,0.55,0.54,0.53,0.53,0.56,0.62,0.65
0.18,2400,9984.53265814483,0,0.09,0,0,0,0,0.58,0.55,0.53,0.55,0.56,0.57,0.57,0.55,0.54,0.54,0.57,0.58
0.14,2500,9984.48715026677,0,0.27,0,0,0,0,0.57,0.57,0.57,0.59,0.62,0.63,0.62,0.6,0.58,0.57,0.57,0.57
0.3,2600,9984.53295099735,0,0.16,0,0,0,0,0.69,0.69,0.67,0.65,0.65,0.66,0.65,0.64,0.66,0.68,0.69,0.69
0.34,2700,9984.55671423674,0,0.19,0,0,0,0,0.92,0.88,0.84,0.8,0.78,0.77,0.77,0.79,0.82,0.86,0.9,0.93
0.05,2800,9984.57686957717,0,0.03,0,0,0,0,0.37,0.3,0.25,0.2,0.17,0.16,0.17,0.19,0.23,0.28,0.35,0.4
0.02,2900,9984.58196872473,0,0.09,0,0,0,0,0.51,0.44,0.39,0.36,0.35,0.34,0.34,0.35,0.37,0.41,0.49,0.54
0.05,3000,9984.56002013385,0,0.22,0,0,0,0,0.8,0.73,0.68,0.65,0.64,0.63,0.64,0.65,0.66,0.71,0.78,0.82
0.08,3100,9984.54262144864,0,0.14,0,0,0,0,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.59
0,3200,9984.55182406306,0,0.01,0,0,0,0,0.04,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.04,0.05
0,3300,9984.54425625503,0,0,0,0,0,0,0.12,0.05,0.01,0,0,0,0,0,0.01,0.03,0.1,0.15
0,3400,9984.42647784948,0,0.03,0,0,0,0,0.33,0.27,0.21,0.17,0.14,0.13,0.13,0.15,0.19,0.24,0.31,0.36
0.03,3500,9984.46883392334,0,0.16,0,0,0,0,0.58,0.5,0.44,0.39,0.36,0.34,0.35,0.37,0.42,0.48,0.55,0.6
0.08,3600,9984.61021059752,0,0.24,0.03,0.03,0,0,0.8,0.71,0.64,0.59,0.56,0.55,0.55,0.58,0.62,0.68,0.77,0.83
0.12,3700,9984.71825584769,0,0.26,0.12,0.12,0,0,0.8,0.7,0.63,0.59,0.57,0.56,0.56,0.58,0.61,0.67,0.77,0.84
0.13,3800,9984.59253661335,0,0.22,0.16,0.16,0,0,0.8,0.7,0.63,0.58,0.55,0.54,0.54,0.56,0.6,0.67,0.76,0.84
0.07,3900,9984.49238392711,0,0.07,0.13,0.13,0,0,0.57,0.48,0.41,0.35,0.32,0.31,0.32,0.34,0.39,0.45,0.54,0.6
0.02,4000,9984.50367842615,0,0.04,0,0,0,0,0.37,0.28,0.21,0.17,0.15,0.14,0.14,0.16,0.19,0.25,0.34,0.4
0.29,4100,9984.33549179137,0,0.03,0,0,0,0,0.29,0.28,0.27,0.25,0.25,0.25,0.25,0.25,0.26,0.27,0.28,0.29
0.35,4200,9984.31807199121,0,0.17,0.02,0.02,0,0,0.68,0.61,0.55,0.51,0.49,0.48,0.48,0.5,0.53,0.59,0.66,0.71
0.25,4300,9984.75584761798,0,0.19,0.11,0.11,0,0,0.71,0.66,0.63,0.62,0.62,0.63,0.62,0.62,0.63,0.65,0.69,0.73
0.12,4400,9985.37417882681,0,0.02,0,0,0,0,0.17,0.15,0.13,0.12,0.11,0.11,0.11,0.11,0.13,0.14,0.17,0.18
0,4500,9985.18538248539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4600,9984.43536113203,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4700,9982.55492004752,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19,4800,9983.35846550763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39,4900,9984.73605573922,0,0.13,0,0,0,0,0.45,0.44,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.44,0.44,0.45
0.19,5000,9985.3366978243,0,0.38,0,0,0,0,0.99,0.98,0.97,0.95,0.95,0.94,0.94,0.95,0.96,0.98,0.99,0.99
0.06,5100,9985.25283359736,0,0.23,0,0,0,0,0.81,0.74,0.67,0.62,0.59,0.58,0.58,0.61,0.65,0.71,0.79,0.84
0.19,5200,9984.58924446255,0,0.11,0,0,0,0,0.47,0.48,0.49,0.5,0.51,0.52,0.51,0.51,0.5,0.48,0.48,0.47
0.35,5300,9984.24305113405,0,0.15,0,0,0,0,0.96,0.93,0.9,0.88,0.88,0.88,0.88,0.88,0.89,0.91,0.95,0.97
0.23,5400,9984.2281091474,0,0.17,0,0,0,0,0.87,0.83,0.78,0.74,0.72,0.71,0.71,0.73,0.76,0.81,0.86,0.89
0.03,5500,9984.59158637375,0,0.01,0,0,0,0,0.22,0.18,0.15,0.13,0.12,0.11,0.11,0.12,0.14,0.17,0.21,0.23
0.15,5600,9984.59293518215,0,0,0,0,0,0,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.17
0.4,5700,9984.56258198991,0,0.12,0,0,0,0,0.84,0.83,0.82,0.81,0.8,0.8,0.8,0.81,0.81,0.82,0.83,0.84
0.53,5800,9984.55557086319,0,0.03,0,0,0,0,0.32,0.31,0.3,0.29,0.28,0.28,0.28,0.29,0.29,0.3,0.32,0.33
0.51,5900,9984.58872283995,0,0.09,0,0,0,0,0.8,0.78,0.77,0.77,0.76,0.75,0.76,0.76,0.77,0.78,0.79,0.8
0.35,6000,9984.63007249311,0,0.22,0,0,0,0,0.95,0.92,0.88,0.84,0.83,0.82,0.82,0.84,0.86,0.9,0.94,0.95
0.15,6100,9984.64077556878,0,0.43,0,0,0,0,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.97,0.97,0.97,0.97,0.97
0.13,6200,9984.57971324772,0,0.46,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0.13,6300,9984.01206061244,0,0.46,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0.13,6400,9983.7002126053,0,0.46,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0.12,6500,9984.09099164605,0,0.46,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0.2,6600,9985.15715178847,0,0.37,0,0,0,0,0.98,0.96,0.93,0.9,0.88,0.87,0.88,0.89,0.92,0.95,0.98,0.99
0.46,6700,9986.0905456543,0,0.04,0,0,0,0,0.22,0.17,0.13,0.1,0.08,0.08,0.08,0.09,0.11,0.15,0.2,0.24
0.27,6800,9984.74465888739,0,0.29,0,0,0,0,0.79,0.77,0.77,0.77,0.78,0.78,0.78,0.77,0.76,0.77,0.79,0.8
0.14,6900,9983.03287361562,0,0.45,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.22,7000,9984.33682915568,0,0.34,0,0,0,0,0.99,0.98,0.95,0.92,0.91,0.9,0.9,0.91,0.94,0.97,0.99,1
0.35,7100,9984.76769369841,0,0.17,0,0,0,0,0.82,0.72,0.64,0.57,0.54,0.53,0.53,0.56,0.61,0.69,0.79,0.85
0.4,7200,9984.6430709064,0,0.04,0,0,0,0,0.5,0.43,0.36,0.31,0.29,0.28,0.28,0.3,0.34,0.4,0.48,0.53
0.11,7300,9984.55667461455,0,0.01,0,0,0,0,0.28,0.23,0.2,0.19,0.18,0.18,0.18,0.18,0.2,0.21,0.26,0.3
0.1,7400,9984.55617338419,0,0.02,0,0,0,0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
0.11,7500,9984.57089610398,0,0.03,0,0,0,0,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4
0.05,7600,9984.55828000605,0,0.02,0,0,0,0,0.23,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.23,0.23
0.04,7700,9984.47073058784,0,0,0,0,0,0,0.01,0.01,0.02,0.04,0.06,0.07,0.07,0.05,0.02,0.01,0.01,0.01
0.05,7800,9984.51480714977,0,0,0,0,0,0,0.11,0.04,0.01,0,0,0.01,0,0,0,0.02,0.09,0.13
